Age,Height (cm),Weight (kg),BMI,Disease,Injury,Focus Goals,Profile Level,Gender,Day 1 - Sunday,Day 2 - Monday,Day 3 - Tuesday,Day 4 - Wednesday,Day 5 - Thursday,Day 6 - Friday,Day 7 - Saturday
39,162.9,86.4,32.56,Regular,Spinal Injury,Fat Loss,Beginner,Male,"Seated Bicep Curl, Leg Press, Tricep Pushdown","Seated Leg Extension, Lying Glute Bridge, Seated Calf Raise","Seated Bicep Curl, Seated Tricep Extension, Chest-Supported Row","Seated Cable Row, Leg Press, Seated Leg Curl","Plank, Crunches, Bicycle Crunches","Cable Chest Fly, Lat Pulldown, Leg Press",Rest & Recovery
41,151.8,49.6,21.52,Hypothyroidism,Regular,Muscle Gain,Beginner,Female,Rest & Recovery,"Lateral Band Walk, Box Jumps, Hack Squat","Yoga 30min, Light Swimming, Plank","Band Pull-Apart, Hip Thrust, Goblet Squat","Front Raise, Machine Chest Press, Wood Chops","Bent-Over Barbell Row, Cable Bicep Curl, Band Pull-Apart",Rest & Recovery
31,159.5,64.0,25.16,Low Stamina,Regular,Muscle Gain,Intermediate,Female,"Nordic Walking, Aqua Aerobics, Light Swimming","Seated Face Pulls, Seated Tricep Extension, Seated Lat Pulldown","Light Swimming, Nordic Walking, Brisk Walking 30min","Machine Chest Press, Seated Tricep Extension, Seated Bicep Curl","Low-Impact Aerobics, Stationary Cycling 20min, Slow Jogging 15min","Russian Twists, Seated Arnold Press, Side Plank",Rest & Recovery
49,158.4,60.2,23.99,Allergy,Regular,Muscle Gain,Intermediate,Female,Rest & Recovery,"Diamond Push-Ups, Tricep Pushdown, Tricep Overhead Extension","Seated Cable Row, T-Bar Row, Hammer Curl","Wall Sit, Hip Thrust, Sumo Deadlift","Tricep Overhead Extension, Dumbbell Lateral Raise, Decline Push-Ups","T-Bar Row, Wood Chops, Side Plank","Glute Bridge, Bulgarian Split Squat, Leg Curl"
52,157.2,57.9,23.43,Insomnia,Regular,Maintenance,Beginner,Female,Rest & Recovery,"Incline Dumbbell Row, Close-Grip Bench Press, Rear Delt Fly","Leg Extension, Donkey Kicks, Box Jumps","Light Swimming, Pallof Press, Slow Jogging 15min","Cable Chest Fly, Cable Lateral Raise, Face Pulls","Flutter Kicks, Wood Chops, Hip Thrust","Light Swimming, Brisk Walking 30min, Nordic Walking"
58,163.9,104.1,38.75,Tennis Elbow,Regular,Fat Loss,Beginner,Male,Rest & Recovery,"Diamond Push-Ups, Incline Dumbbell Press, Push-Ups","Bulgarian Split Squat, Sumo Deadlift, Romanian Deadlift","Hammer Curl, Chest-Supported Row, EZ Bar Curl","Dragon Flag, Side Plank, Leg Extension","Cycling Sprint, Dragon Flag, Cable Crunch","Decline Push-Ups, Reverse Fly, Rear Delt Fly"
16,148.3,80.3,36.51,Ulcer,Patella Injury,Fat Loss,Intermediate,Female,"Close-Grip Bench Press, Incline Dumbbell Fly, Cable Lateral Raise","Chest-Supported Row, Face Pulls, Incline Dumbbell Row","Leg Raises, Decline Sit-Ups, Wood Chops","Tricep Overhead Extension, Band Pull-Apart, Rear Delt Fly","Resistance Band Rows, Seated Tricep Extension, Machine Chest Press","Decline Sit-Ups, EZ Bar Curl, Reverse Crunch",Rest & Recovery
25,170.0,75.5,26.12,Regular,Regular,Maintenance,Advance,Male,Rest & Recovery,"Seated Cable Row, Dumbbell Lateral Raise, Incline Dumbbell Fly, Diamond Push-Ups","Calf Raises, Leg Extension, Leg Curl, Sumo Deadlift","Hanging Knee Raise, Breathing Exercises, Aqua Aerobics, Elliptical Trainer 20min","Close-Grip Bench Press, Dumbbell Chest Press, Incline Dumbbell Fly, Concentration Curl","Donkey Kicks, Calf Raises, Bicycle Crunches, Side Plank","Gentle Yoga, Breathing Exercises, Stretching Routine"
21,174.2,92.0,30.32,Regular,Dislocated Shoulder,Fat Loss,Beginner,Male,"Lying Hip Abduction, Seated Leg Extension, Supine Hamstring Stretch","Lateral Band Walk, Romanian Deadlift, Bulgarian Split Squat","Seated Hip Flexor Stretch, Seated Leg Extension, Outer Thigh Machine","Romanian Deadlift, Seated Calf Raise, Goblet Squat","Wood Chops, Cable Crunch, V-Ups","Box Jumps, Seated Hip Flexor Stretch, Glute Bridge",Rest & Recovery
63,157.5,60.9,24.55,Ulcer,Regular,Muscle Gain,Intermediate,Female,Rest & Recovery,"Decline Push-Ups, Dips, Overhead Shoulder Press","Face Pulls, Barbell Bicep Curl, T-Bar Row","Step-Ups, Box Jumps, Hack Squat","Cable Lateral Raise, Skull Crushers, Incline Dumbbell Press","Concentration Curl, Barbell Bicep Curl, Crunches","Leg Extension, Box Jumps, Step-Ups"
29,176.2,70.7,22.77,Regular,Sciatic Injury,Maintenance,Beginner,Male,"Chest-Supported Row, Machine Chest Press, Seated Bicep Curl","Seated Calf Raise, Leg Press, Hip Abduction Machine","Cable Chest Fly, Chest-Supported Row, Machine Chest Press","Seated Dumbbell Press, Seated Cable Row, Lat Pulldown","Crunches, Russian Twists, Side Plank","Tricep Pushdown, Elliptical Trainer 20min, Slow Jogging 15min",Rest & Recovery
29,175.3,103.2,33.58,Regular,Spinal Injury,Fat Loss,Beginner,Male,"Face Pulls, Lat Pulldown, Seated Dumbbell Press","Seated Calf Raise, Lying Glute Bridge, Seated Leg Extension","Chest-Supported Row, Seated Tricep Extension, Resistance Band Rows","Lat Pulldown, Seated Calf Raise, Lying Glute Bridge","Bicycle Crunches, Plank, Crunches","Brisk Walking 30min, Cable Chest Fly, Nordic Walking",Rest & Recovery
40,149.2,76.8,34.5,Regular,Regular,Fat Loss,Advance,Female,Rest & Recovery,"Dumbbell Lateral Raise, Overhead Shoulder Press, Incline Dumbbell Press, Incline Dumbbell Fly","Romanian Deadlift, Box Jumps, Calf Raises, Goblet Squat","Machine Row, Wide-Grip Lat Pulldown, EZ Bar Curl, Lat Pulldown","Wall Sit, V-Ups, Leg Extension, Bulgarian Split Squat","High Knees, Reverse Crunch, Flutter Kicks, Side Plank","Push-Ups, Preacher Curl, Machine Chest Press, EZ Bar Curl"
53,163.3,82.9,31.09,Anemia,Regular,Fat Loss,Beginner,Female,Rest & Recovery,"Front Raise, Push-Ups, Dips","Glute Bridge, Lateral Band Walk, Goblet Squat","Hammer Curl, Preacher Curl, Barbell Bicep Curl","Reverse Crunch, Dragon Flag, Romanian Deadlift","Leg Raises, HIIT Sprints, Burpees","Band Pull-Apart, EZ Bar Curl, Face Pulls"
58,180.7,78.3,23.98,Regular,Fractured Collarbone,Fat Loss,Intermediate,Male,"Glute Bridge, Lying Quad Stretch, Seated Calf Raise","Leg Extension, Leg Press, Wall Sit","Glute Bridge, Outer Thigh Machine, Seated Calf Raise","Lateral Band Walk, Calf Raises, Hack Squat","Plank, Leg Raises, Crunches","Leg Curl, Hack Squat, Lying Hip Abduction",Rest & Recovery
20,150.7,83.2,36.64,Regular,Tailbone Pain,Fat Loss,Intermediate,Female,"Tricep Pushdown, Seated Cable Row, Cable Chest Fly","Hip Abduction Machine, Seated Leg Curl, Leg Press","Seated Shoulder Press, Seated Arnold Press, Seated Tricep Extension","Seated Bicep Curl, Face Pulls, Seated Leg Extension","Russian Twists, Bicycle Crunches, Crunches","Stationary Cycling 20min, Brisk Walking 30min, Breathing Exercises",Rest & Recovery
47,175.2,88.3,28.77,Regular,Regular,Fat Loss,Intermediate,Male,Rest & Recovery,"Barbell Bench Press, Diamond Push-Ups, Tricep Pushdown","Barbell Squat, Walking Lunges, Seated Calf Raise","Reverse Fly, Face Pulls, T-Bar Row","Lateral Band Walk, Crunches, Hip Thrust","Ab Wheel Rollout, Dragon Flag, Bicycle Crunches","Machine Row, Cable Bicep Curl, Tricep Pushdown"
26,161.0,51.0,19.68,Bronchitis,Toe Fracture,Muscle Gain,Beginner,Female,"Low-Impact Aerobics, Gentle Yoga, Yoga 30min","Seated Shoulder Press, Chest-Supported Row, Seated Bicep Curl","Low-Impact Aerobics, Yoga 30min, Stretching Routine","Seated Tricep Extension, Seated Dumbbell Press, Chest-Supported Row","Nordic Walking, Light Swimming, Gentle Yoga","Chest-Supported Row, Seated Lat Pulldown, Seated Dumbbell Press",Rest & Recovery
50,161.1,74.6,28.74,Osteoporosis,Pelvic Injury,Maintenance,Advance,Male,"Machine Chest Press, Dumbbell Chest Press, Push-Ups, Cable Chest Fly","Preacher Curl, Pull-Ups, Hammer Curl, Bent-Over Barbell Row","Plank, Flutter Kicks, Bird Dog, Decline Sit-Ups","Tricep Pushdown, Barbell Bench Press, Wide-Grip Lat Pulldown, T-Bar Row","Chest-Supported Row, Seated Arnold Press, Seated Shoulder Press, Seated Bicep Curl","Wide-Grip Lat Pulldown, Hollow Body Hold, Ab Wheel Rollout, Face Pulls",Rest & Recovery
40,181.0,67.0,20.45,Joint Pain,Ankle Injury,Muscle Gain,Advance,Male,"Cable Chest Fly, Push-Ups, Dumbbell Chest Press, Skull Crushers","T-Bar Row, EZ Bar Curl, Barbell Bicep Curl, Machine Row","Hanging Knee Raise, Cable Crunch, Reverse Crunch, Ab Wheel Rollout","Push-Ups, Preacher Curl, Reverse Fly, Cable Chest Fly","Machine Chest Press, Resistance Band Rows, Seated Shoulder Press, Seated Face Pulls","T-Bar Row, Decline Sit-Ups, Dumbbell Row, Crunches",Rest & Recovery
34,179.5,94.0,29.17,Regular,Ankle Injury,Fat Loss,Intermediate,Male,"Dumbbell Chest Press, Incline Dumbbell Press, Tricep Overhead Extension","Face Pulls, Bent-Over Barbell Row, Barbell Bicep Curl","Plank, Flutter Kicks, Decline Sit-Ups","Cable Lateral Raise, Preacher Curl, Close-Grip Bench Press","Resistance Band Rows, Seated Dumbbell Press, Seated Arnold Press","Flutter Kicks, Bird Dog, Ab Wheel Rollout",Rest & Recovery
42,169.9,81.4,28.2,Migraine,Leg Fracture,Muscle Gain,Beginner,Male,"Push-Ups, Barbell Bench Press, Dumbbell Chest Press","Band Pull-Apart, Bent-Over Barbell Row, Reverse Fly","Crunches, Hanging Knee Raise, Mountain Climbers","Cable Bicep Curl, Dips, Face Pulls","Resistance Band Rows, Seated Tricep Extension, Seated Lat Pulldown","Decline Sit-Ups, Cable Crunch, Reverse Crunch",Rest & Recovery
57,159.9,58.6,22.92,High Cholesterol,Rib Fracture,Muscle Gain,Advance,Female,Rest & Recovery,Rest & Recovery,Rest & Recovery,Rest & Recovery,Rest & Recovery,Rest & Recovery,Rest & Recovery
32,160.2,50.1,19.52,Bronchitis,Meniscus Tear,Muscle Gain,Beginner,Female,"Yoga 30min, Aqua Aerobics, Low-Impact Aerobics","Seated Cable Row, Resistance Band Rows, Seated Lat Pulldown","Aqua Aerobics, Stretching Routine, Light Swimming","Seated Tricep Extension, Chest-Supported Row, Seated Bicep Curl","Breathing Exercises, Slow Jogging 15min, Nordic Walking","Seated Face Pulls, Chest-Supported Row, Crunches",Rest & Recovery
20,170.0,89.8,31.07,Regular,Elbow Injury,Fat Loss,Beginner,Male,"Romanian Deadlift, Leg Press, Lying Quad Stretch","Romanian Deadlift, Cable Kickback, Donkey Kicks","Supine Hamstring Stretch, Inner Thigh Machine, Seated Hip Flexor Stretch","Lateral Band Walk, Seated Calf Raise, Cable Kickback","Ab Wheel Rollout, Bicycle Crunches, Leg Raises","Outer Thigh Machine, Wall Sit, Goblet Squat",Rest & Recovery
44,166.3,79.0,28.57,Regular,Regular,Maintenance,Beginner,Male,Rest & Recovery,"Dips, Face Pulls, Lat Pulldown","Cable Kickback, Step-Ups, Hip Thrust","Crunches, Brisk Walking 30min, Bicycle Crunches","Cable Lateral Raise, Machine Row, Reverse Fly","Wall Sit, Step-Ups, Seated Calf Raise","Low-Impact Aerobics, Light Swimming, Breathing Exercises"
65,180.6,82.9,25.42,Regular,Regular,Maintenance,Beginner,Male,Rest & Recovery,"T-Bar Row, Seated Cable Row, Machine Chest Press","Leg Extension, Step-Ups, Wall Sit","Elliptical Trainer 20min, Nordic Walking, Brisk Walking 30min","Front Raise, Dips, Lat Pulldown","Bird Dog, Leg Raises, Sumo Deadlift","Gentle Yoga, Light Swimming, Stationary Cycling 20min"
46,163.3,54.5,20.44,Fatty Liver,Leg Fracture,Maintenance,Intermediate,Female,"Cable Lateral Raise, Front Raise, Dumbbell Lateral Raise","Chest-Supported Row, Rear Delt Fly, Machine Row","Reverse Crunch, Ab Wheel Rollout, Side Plank","Band Pull-Apart, Preacher Curl, Hammer Curl","Seated Lat Pulldown, Seated Arnold Press, Seated Face Pulls","Chest-Supported Row, Ab Wheel Rollout, Bicycle Crunches",Rest & Recovery
37,158.1,74.8,29.93,Kidney Disease,Foot Fracture,Fat Loss,Intermediate,Female,"Barbell Bench Press, Incline Dumbbell Press, Cable Chest Fly","Incline Dumbbell Row, Preacher Curl, Lat Pulldown","Hanging Knee Raise, Bicycle Crunches, V-Ups","Dumbbell Chest Press, Incline Dumbbell Press, Arnold Press","Seated Dumbbell Press, Chest-Supported Row, Seated Arnold Press","Machine Row, Preacher Curl, Barbell Bicep Curl",Rest & Recovery
37,153.8,72.1,30.48,Regular,Regular,Fat Loss,Intermediate,Female,Rest & Recovery,"Cable Chest Fly, Decline Push-Ups, Incline Dumbbell Fly","Hack Squat, Lateral Band Walk, Leg Press","Seated Cable Row, Machine Row, Band Pull-Apart","Plank, Hack Squat, Dragon Flag","Ab Wheel Rollout, Bird Dog, Hanging Knee Raise","Barbell Bicep Curl, Dumbbell Chest Press, Front Raise"
58,164.9,56.1,20.63,Migraine,Lower Back Strain,Muscle Gain,Intermediate,Female,"Machine Chest Press, Tricep Pushdown, Seated Cable Row","Leg Press, Lying Glute Bridge, Seated Leg Curl","Seated Shoulder Press, Seated Tricep Extension, Seated Lat Pulldown","Leg Press, Hip Abduction Machine, Lying Glute Bridge","Russian Twists, Crunches, Bicycle Crunches","Nordic Walking, Stretching Routine, Seated Cable Row",Rest & Recovery
17,163.4,59.8,22.4,Regular,Regular,Muscle Gain,Advance,Female,Rest & Recovery,"Incline Dumbbell Fly, Decline Push-Ups, Tricep Pushdown, Incline Dumbbell Press","Concentration Curl, EZ Bar Curl, Machine Row, Face Pulls","Romanian Deadlift, Walking Lunges, Cable Kickback, Leg Press","Dumbbell Chest Press, Push-Ups, Skull Crushers, Dips","Lat Pulldown, Preacher Curl, Flutter Kicks, Reverse Crunch","Sumo Deadlift, Leg Curl, Glute Bridge, Walking Lunges"
22,166.8,85.1,30.59,Depression,Regular,Fat Loss,Advance,Male,Rest & Recovery,"Machine Chest Press, Skull Crushers, Barbell Bench Press, Diamond Push-Ups","Leg Extension, Seated Calf Raise, Goblet Squat, Donkey Kicks","Preacher Curl, Wide-Grip Lat Pulldown, Rear Delt Fly, Lat Pulldown","Dead Bug, Wood Chops, Donkey Kicks, V-Ups","High Knees, Dragon Flag, Russian Twists, Hanging Knee Raise","Machine Row, Skull Crushers, Incline Dumbbell Row, Barbell Bicep Curl"
46,169.1,107.9,37.73,Regular,Rotator Cuff Injury,Fat Loss,Beginner,Male,"Supine Hamstring Stretch, Inner Thigh Machine, Leg Press","Seated Calf Raise, Step-Ups, Glute Bridge","Seated Calf Raise, Inner Thigh Machine, Lying Hip Abduction","Leg Press, Barbell Squat, Sumo Deadlift","Hanging Knee Raise, Wood Chops, Bicycle Crunches","Step-Ups, Barbell Squat, Hip Thrust",Rest & Recovery
48,171.7,97.7,33.14,Bronchitis,Rib Fracture,Fat Loss,Intermediate,Male,Rest & Recovery,Rest & Recovery,Rest & Recovery,Rest & Recovery,Rest & Recovery,Rest & Recovery,Rest & Recovery
29,167.2,92.3,33.02,Regular,Quad Injury,Fat Loss,Intermediate,Male,"Dumbbell Chest Press, Machine Chest Press, Cable Lateral Raise","Barbell Bicep Curl, Preacher Curl, Chest-Supported Row","Bicycle Crunches, Side Plank, Bird Dog","Incline Dumbbell Press, Cable Chest Fly, Tricep Overhead Extension","Seated Cable Row, Seated Dumbbell Press, Seated Bicep Curl","Face Pulls, Russian Twists, Bent-Over Barbell Row",Rest & Recovery
16,152.9,53.1,22.71,Regular,Hamstring Injury,Muscle Gain,Advance,Female,"Cable Lateral Raise, Overhead Shoulder Press, Diamond Push-Ups, Front Raise","Seated Cable Row, Hammer Curl, Preacher Curl, Cable Bicep Curl","Reverse Crunch, Crunches, Ab Wheel Rollout, Mountain Climbers","Incline Dumbbell Press, Front Raise, Barbell Bicep Curl, Bent-Over Barbell Row","Seated Dumbbell Press, Seated Shoulder Press, Cable Chest Fly, Seated Bicep Curl","Side Plank, Wood Chops, EZ Bar Curl, Seated Cable Row",Rest & Recovery
57,173.7,79.2,26.25,Regular,ACL Injury,Fat Loss,Intermediate,Male,"Push-Ups, Cable Chest Fly, Front Raise","EZ Bar Curl, T-Bar Row, Hammer Curl","Reverse Crunch, Hollow Body Hold, Bird Dog","Decline Push-Ups, Dips, Rear Delt Fly","Seated Lat Pulldown, Seated Face Pulls, Seated Shoulder Press","Leg Raises, Band Pull-Apart, Hollow Body Hold",Rest & Recovery
47,171.2,79.1,26.99,Regular,Pulled Muscle,Maintenance,Beginner,Male,Rest & Recovery,"Decline Push-Ups, Machine Row, Dips","Leg Curl, Step-Ups, Romanian Deadlift","Pallof Press, Hollow Body Hold, Bird Dog","Reverse Fly, Tricep Pushdown, Arnold Press","Lateral Band Walk, Pallof Press, Romanian Deadlift","Brisk Walking 30min, Slow Jogging 15min, Yoga 30min"
62,148.4,86.0,39.05,Hyperthyroidism,Ankle Injury,Fat Loss,Advance,Female,"Front Raise, Tricep Overhead Extension, Diamond Push-Ups, Machine Chest Press","Face Pulls, Hammer Curl, Bent-Over Barbell Row, Barbell Bicep Curl","Plank, Pallof Press, V-Ups, Russian Twists","Barbell Bicep Curl, Overhead Shoulder Press, Reverse Fly, Band Pull-Apart","Seated Face Pulls, Chest-Supported Row, Seated Lat Pulldown, Seated Cable Row","Hollow Body Hold, Pull-Ups, Dragon Flag, V-Ups",Rest & Recovery
30,162.3,82.5,31.32,Arthritis,Hip Injury,Maintenance,Advance,Male,"Front Raise, Cable Chest Fly, Push-Ups, Overhead Shoulder Press","Face Pulls, Reverse Fly, Bent-Over Barbell Row, Preacher Curl","Side Plank, Russian Twists, V-Ups, Cable Crunch","Lat Pulldown, Cable Lateral Raise, T-Bar Row, Face Pulls","Machine Chest Press, Seated Tricep Extension, Chest-Supported Row, Seated Lat Pulldown","T-Bar Row, Barbell Bicep Curl, Crunches, Machine Row",Rest & Recovery
26,157.0,70.2,28.48,Migraine,Shoulder Injury,Fat Loss,Intermediate,Female,"Romanian Deadlift, Walking Lunges, Lying Quad Stretch","Step-Ups, Lateral Band Walk, Hip Thrust","Supine Hamstring Stretch, Lying Hip Abduction, Inner Thigh Machine","Goblet Squat, Cable Kickback, Wall Sit","Pallof Press, Bird Dog, Hanging Knee Raise","Leg Press, Glute Bridge, Seated Hip Flexor Stretch",Rest & Recovery
18,170.9,80.4,27.53,Regular,Tendon Injury,Muscle Gain,Beginner,Male,Rest & Recovery,"Front Raise, Incline Dumbbell Fly, Bulgarian Split Squat","Stationary Cycling 20min, Yoga 30min, Cable Crunch","Calf Raises, Face Pulls, Leg Extension","Incline Dumbbell Press, Crunches, Bird Dog","Donkey Kicks, Leg Extension, Bent-Over Barbell Row",Rest & Recovery
25,174.5,75.8,24.89,Regular,Pelvic Injury,Muscle Gain,Beginner,Male,"Diamond Push-Ups, Cable Chest Fly, Incline Dumbbell Fly","Incline Dumbbell Row, Seated Cable Row, Bent-Over Barbell Row","Ab Wheel Rollout, Hanging Knee Raise, Dragon Flag","Decline Push-Ups, Cable Lateral Raise, EZ Bar Curl","Seated Face Pulls, Chest-Supported Row, Resistance Band Rows","Incline Dumbbell Row, Lat Pulldown, Pallof Press",Rest & Recovery
63,173.1,83.4,27.83,Regular,Regular,Maintenance,Advance,Male,Rest & Recovery,"Dumbbell Chest Press, Pull-Ups, Incline Dumbbell Fly, Preacher Curl","Hack Squat, Barbell Squat, Lateral Band Walk, Hip Thrust","Ab Wheel Rollout, Decline Sit-Ups, Breathing Exercises, Bird Dog","Reverse Fly, Pull-Ups, Hammer Curl, Skull Crushers","Leg Curl, Box Jumps, Crunches, Seated Calf Raise","Light Swimming, Stretching Routine, Nordic Walking"
21,166.9,86.6,31.09,Regular,Achilles Injury,Fat Loss,Intermediate,Female,"Tricep Pushdown, Front Raise, Close-Grip Bench Press","Bent-Over Barbell Row, Preacher Curl, Band Pull-Apart","Crunches, Plank, Hollow Body Hold","Front Raise, Close-Grip Bench Press, Dumbbell Row","Machine Chest Press, Chest-Supported Row, Seated Tricep Extension","Pull-Ups, Russian Twists, Leg Raises",Rest & Recovery
44,180.3,74.7,22.98,Low Stamina,Knee Pain,Muscle Gain,Beginner,Male,"Light Swimming, Breathing Exercises, Stationary Cycling 20min","Machine Chest Press, Resistance Band Rows, Seated Lat Pulldown","Elliptical Trainer 20min, Yoga 30min, Brisk Walking 30min","Seated Shoulder Press, Cable Chest Fly, Machine Chest Press","Nordic Walking, Aqua Aerobics, Elliptical Trainer 20min","Russian Twists, Bicycle Crunches, Seated Lat Pulldown",Rest & Recovery
24,165.4,106.1,38.78,Regular,Regular,Fat Loss,Intermediate,Male,Rest & Recovery,"Dips, Tricep Overhead Extension, Diamond Push-Ups","Glute Bridge, Hip Thrust, Hack Squat","EZ Bar Curl, Hammer Curl, Wide-Grip Lat Pulldown","V-Ups, Leg Curl, Dragon Flag","Flutter Kicks, Dragon Flag, Stair Climbing","Face Pulls, Chest-Supported Row, Barbell Bicep Curl"
28,153.8,57.1,24.14,Regular,ACL Injury,Muscle Gain,Intermediate,Female,"Decline Push-Ups, Tricep Pushdown, Diamond Push-Ups","Chest-Supported Row, Preacher Curl, EZ Bar Curl","Leg Raises, V-Ups, Reverse Crunch","Concentration Curl, Cable Lateral Raise, EZ Bar Curl","Seated Dumbbell Press, Cable Chest Fly, Seated Tricep Extension","Machine Row, Leg Raises, Ab Wheel Rollout",Rest & Recovery
61,151.8,52.9,22.96,Regular,Regular,Muscle Gain,Beginner,Female,Rest & Recovery,"Diamond Push-Ups, Tricep Pushdown, Step-Ups","Breathing Exercises, Aqua Aerobics, Plank","Goblet Squat, Chest-Supported Row, EZ Bar Curl","Crunches, Reverse Crunch, Machine Chest Press","Machine Row, Glute Bridge, Box Jumps",Rest & Recovery
41,162.1,78.5,29.87,Ulcer,Sciatic Injury,Fat Loss,Beginner,Male,"Face Pulls, Seated Cable Row, Machine Chest Press","Seated Leg Extension, Hip Abduction Machine, Lying Glute Bridge","Machine Chest Press, Seated Face Pulls, Seated Dumbbell Press","Lying Glute Bridge, Seated Bicep Curl, Lat Pulldown","Side Plank, Crunches, Plank","Cable Chest Fly, Lat Pulldown, Stationary Cycling 20min",Rest & Recovery
39,157.7,63.2,25.41,Regular,Muscle Tear,Muscle Gain,Intermediate,Female,Rest & Recovery,"Machine Chest Press, Skull Crushers, Close-Grip Bench Press","Seated Cable Row, Hammer Curl, EZ Bar Curl","Barbell Squat, Box Jumps, Hack Squat","Barbell Bench Press, Cable Lateral Raise, Diamond Push-Ups","Preacher Curl, Chest-Supported Row, Bicycle Crunches","Step-Ups, Goblet Squat, Hip Thrust"
47,164.2,74.3,27.56,IBS,Regular,Fat Loss,Beginner,Female,Rest & Recovery,"Front Raise, Dumbbell Lateral Raise, Tricep Overhead Extension","Sumo Deadlift, Leg Press, Cable Kickback","Dumbbell Row, Concentration Curl, Bent-Over Barbell Row","Lateral Band Walk, Side Plank, Romanian Deadlift","Russian Twists, Battle Ropes, HIIT Sprints","Overhead Shoulder Press, Machine Row, Tricep Overhead Extension"
57,179.6,93.9,29.11,Muscle Weakness,Spinal Injury,Fat Loss,Advance,Male,"Machine Chest Press, Face Pulls, Cable Chest Fly, Chest-Supported Row","Seated Calf Raise, Hip Abduction Machine, Leg Press, Lying Glute Bridge","Seated Arnold Press, Seated Shoulder Press, Chest-Supported Row, Seated Tricep Extension","Hip Abduction Machine, Seated Bicep Curl, Machine Chest Press, Cable Chest Fly","Russian Twists, Bicycle Crunches, Side Plank, Plank","Breathing Exercises, Face Pulls, Elliptical Trainer 20min, Cable Chest Fly",Rest & Recovery
30,153.8,53.9,22.79,Regular,Regular,Muscle Gain,Advance,Female,Rest & Recovery,"Machine Chest Press, Tricep Pushdown, Incline Dumbbell Press, Dips","Seated Cable Row, Incline Dumbbell Row, Rear Delt Fly, Pull-Ups","Leg Extension, Barbell Squat, Walking Lunges, Seated Calf Raise","Incline Dumbbell Press, Dumbbell Chest Press, Push-Ups, Arnold Press","Leg Raises, Seated Cable Row, Flutter Kicks, Pull-Ups","Bulgarian Split Squat, Hip Thrust, Lateral Band Walk, Seated Calf Raise"
26,158.7,58.6,23.27,Obesity,Dislocated Knee,Maintenance,Intermediate,Female,"Decline Push-Ups, Skull Crushers, Arnold Press","Machine Row, T-Bar Row, Reverse Fly","Russian Twists, Flutter Kicks, Leg Raises","Cable Chest Fly, EZ Bar Curl, Diamond Push-Ups","Machine Chest Press, Seated Shoulder Press, Seated Arnold Press","Mountain Climbers, Preacher Curl, Plank",Rest & Recovery
34,161.5,81.5,31.25,Ulcer,Stress Fracture,Fat Loss,Beginner,Female,"Machine Chest Press, Incline Dumbbell Fly, Cable Chest Fly","T-Bar Row, Seated Cable Row, Wide-Grip Lat Pulldown","Dragon Flag, V-Ups, Mountain Climbers","Dumbbell Row, EZ Bar Curl, Front Raise","Chest-Supported Row, Seated Face Pulls, Seated Dumbbell Press","Bent-Over Barbell Row, Flutter Kicks, Bird Dog",Rest & Recovery
49,168.8,81.7,28.67,Regular,Regular,Muscle Gain,Beginner,Male,Rest & Recovery,"Machine Chest Press, Step-Ups, Leg Press","Stretching Routine, Nordic Walking, Hollow Body Hold","Lat Pulldown, Reverse Fly, Goblet Squat","Dips, Wood Chops, Incline Dumbbell Fly","Bent-Over Barbell Row, Romanian Deadlift, Barbell Squat",Rest & Recovery
44,149.1,48.8,21.95,Spondylitis,Hamstring Injury,Muscle Gain,Advance,Female,"Dumbbell Lateral Raise, Overhead Shoulder Press, Decline Push-Ups, Skull Crushers","Preacher Curl, Band Pull-Apart, Wide-Grip Lat Pulldown, Pull-Ups","Mountain Climbers, Dead Bug, Pallof Press, Ab Wheel Rollout","Skull Crushers, Dumbbell Row, T-Bar Row, Band Pull-Apart","Resistance Band Rows, Seated Bicep Curl, Seated Dumbbell Press, Seated Cable Row","Bent-Over Barbell Row, Face Pulls, EZ Bar Curl, Leg Raises",Rest & Recovery
43,167.2,78.2,27.97,Regular,Regular,Fat Loss,Intermediate,Male,Rest & Recovery,"Arnold Press, Tricep Overhead Extension, Push-Ups","Goblet Squat, Seated Calf Raise, Leg Extension","Seated Cable Row, Cable Bicep Curl, Incline Dumbbell Row","Calf Raises, Bicycle Crunches, Leg Raises","Bird Dog, Decline Sit-Ups, Box Jumps","Dips, Skull Crushers, Face Pulls"
21,162.3,80.0,30.37,Regular,Regular,Fat Loss,Advance,Male,Rest & Recovery,"Dips, Overhead Shoulder Press, Cable Chest Fly, Dumbbell Chest Press","Glute Bridge, Calf Raises, Goblet Squat, Sumo Deadlift","Bent-Over Barbell Row, Band Pull-Apart, Preacher Curl, Pull-Ups","Wood Chops, Walking Lunges, Pallof Press, Barbell Squat","Treadmill Running 20min, Bird Dog, Hanging Knee Raise, Plank","T-Bar Row, Barbell Bicep Curl, Dips, Bent-Over Barbell Row"
